Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type,image_path_0,image_path_1,image_path_2
Milstone Peated,8.19,0.58,3,70,SingleMalt-like,J,J,Netherlands,Malt,data/images/Milstone_Peated_0.jpg,data/images/Milstone_Peated_1.jpg,data/images/Milstone_Peated_2.jpg
St George's Chapter 9 (peated),8.17,0.52,5,70,SingleMalt-like,I,I,England,Malt,data/images/St_George's_Chapter_9_(peated)_0.jpg,data/images/St_George's_Chapter_9_(peated)_1.jpg,data/images/St_George's_Chapter_9_(peated)_2.jpg
Sullivans Cove Bourbon Cask Strength,8.55,0.72,7,125,SingleMalt-like,EF,F,Tasmania,Malt,data/images/Sullivans_Cove_Bourbon_Cask_Strength_0.jpg,data/images/Sullivans_Cove_Bourbon_Cask_Strength_1.jpg,data/images/Sullivans_Cove_Bourbon_Cask_Strength_2.jpg
St George's Chapter 6 (unpeated),8.23,0.46,10,70,SingleMalt-like,GH,G,England,Malt,data/images/St_George's_Chapter_6_(unpeated)_0.jpg,data/images/St_George's_Chapter_6_(unpeated)_1.jpg,data/images/St_George's_Chapter_6_(unpeated)_2.jpg
Penderyn Legend,7.8,0.76,10,70,SingleMalt-like,EF,F,Wales,Malt,data/images/Penderyn_Legend_0.jpg,data/images/Penderyn_Legend_1.jpg,data/images/Penderyn_Legend_2.jpg
Santis Edition Säntis,7.49,0.86,7,125,SingleMalt-like,EF,F,Switzerland,Malt,data/images/Santis_Edition_Säntis_0.jpg,data/images/Santis_Edition_Säntis_1.jpg,data/images/Santis_Edition_Säntis_2.jpg
Teerenpeli 10yo,8.22,0.44,6,300,SingleMalt-like,GH,H,Finland,Malt,data/images/Teerenpeli_10yo_0.jpg,data/images/Teerenpeli_10yo_1.jpg,data/images/Teerenpeli_10yo_2.jpg
Santis Cask Strength Peated,6.47,1.89,6,125,SingleMalt-like,J,J,Switzerland,Malt,data/images/Santis_Cask_Strength_Peated_0.jpg,data/images/Santis_Cask_Strength_Peated_1.jpg,data/images/Santis_Cask_Strength_Peated_2.jpg
Santis Edition Dreifaltigkeit,7.12,1.84,12,125,SingleMalt-like,J,J,Switzerland,Malt,data/images/Santis_Edition_Dreifaltigkeit_0.jpg,data/images/Santis_Edition_Dreifaltigkeit_1.jpg,data/images/Santis_Edition_Dreifaltigkeit_2.jpg
Kavalan Solist Peaty Cask,9.09,0.13,7,300,SingleMalt-like,J,J,Taiwan,Malt,data/images/Kavalan_Solist_Peaty_Cask_0.jpg,data/images/Kavalan_Solist_Peaty_Cask_1.jpg,data/images/Kavalan_Solist_Peaty_Cask_2.jpg
