Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type,Primary Score
Milstone Peated,8.19,0.58,3,$$$,SingleMalt-like,J,J,Netherlands,Malt,22
St George's Chapter 9 (peated),8.17,0.52,5,$$$,SingleMalt-like,I,I,England,Malt,20
Sullivans Cove Bourbon Cask Strength,8.55,0.72,7,$$$$,SingleMalt-like,EF,F,Tasmania,Malt,20
St George's Chapter 6 (unpeated),8.23,0.46,10,$$$,SingleMalt-like,GH,G,England,Malt,20
Penderyn Legend,7.8,0.76,10,$$$,SingleMalt-like,EF,F,Wales,Malt,19
Santis Edition Säntis,7.49,0.86,7,$$$$,SingleMalt-like,EF,F,Switzerland,Malt,19
Teerenpeli 10yo,8.22,0.44,6,$$$$$,SingleMalt-like,GH,H,Finland,Malt,18
Santis Cask Strength Peated,6.47,1.89,6,$$$$,SingleMalt-like,J,J,Switzerland,Malt,18
Santis Edition Dreifaltigkeit,7.12,1.84,12,$$$$,SingleMalt-like,J,J,Switzerland,Malt,18
Kavalan Solist Peaty Cask,9.09,0.13,7,$$$$$+,SingleMalt-like,J,J,Taiwan,Malt,17
Penderyn Celt,8.27,0.77,7,$$$,SingleMalt-like,I,I,Wales,Malt,15
Gouden Carolus Single Malt,8.29,0.34,5,$$$$,SingleMalt-like,EF,E,Belgium,Malt,15
Sullivans Cove French Oak,8.65,0.31,8,$$$$$+,SingleMalt-like,ABC,C,Tasmania,Malt,15
Penderyn Myth,8.27,0.38,7,$$$,SingleMalt-like,GH,G,Wales,Malt,15
Penderyn Sherrywood,7.9,0.63,12,$$$$,SingleMalt-like,ABC,B,Wales,Malt,15
Penderyn Madeira,7.99,0.95,15,$$$$,SingleMalt-like,ABC,B,Wales,Malt,15
Stalk & Barrel Single Malt (All Casks),8.21,0.44,14,$$$,SingleMalt-like,EF,F,Canada,Malt,15
Tyrconnell Single Malt Irish Whiskey,8.16,0.47,19,$$,SingleMalt-like,GH,H,Ireland,Malt,15
Kavalan Solist Rum Cask,9.08,0.36,3,$$$$$+,SingleMalt-like,GH,G,Taiwan,Malt,14
Kavalan Solist PX Cask,9.03,0.51,8,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt,14
Mackmyra The Swedish Whisky (Brukswhisky),8.39,0.58,14,$$,SingleMalt-like,GH,H,Sweden,Malt,14
Kavalan Solist Vinho Barrique,9.05,0.21,23,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt,14
Kavalan Sherry Oak,8.5,0.51,11,$$$$$,SingleMalt-like,ABC,B,Taiwan,Malt,14
Westland Sherry Wood,8.45,0.43,20,$$$$,SingleMalt-like,ABC,B,USA,Malt,14
